ew_behavior,reaction_delay,maneuver,fighter_g,target_angle,escaped
Autonomous,0.7621780831931537,Break Turn,6.958586974665409,33.56292003273231,False
Autonomous,0.8120829269975138,Barrel Roll,5.116167224336399,43.941137492992226,False
Autonomous,0.9956508044572319,Split-S,6.141028947567751,26.639852672018975,False
Autonomous,0.50054513608871,Zoom Climb,4.866809019706867,-23.49093084485547,False
Autonomous,0.802361513049481,Break Turn,7.811936650645973,-12.016683394169341,True
Autonomous,1.1816288631890215,Barrel Roll,5.912139968434072,34.22111536716163,False
Autonomous,0.8599641068895281,Zoom Climb,5.433525786495959,43.19284880835846,False
Autonomous,0.81534947637868,Split-S,8.372213843133334,55.87584396894712,False
Autonomous,0.7132296384213594,Break Turn,7.077234564055372,-31.076944076878593,False
Autonomous,0.9269976604478346,Zoom Climb,4.568777042230437,49.11844824945385,False
Autonomous,0.9637655990477874,Split-S,7.062889686228112,-35.04700045581734,False
Autonomous,0.521919304718891,Split-S,7.937832058402787,52.7398729877027,False
Autonomous,0.9185299851677595,Zoom Climb,5.153081537611671,8.453276928647924,False
Autonomous,1.1728204170445444,Break Turn,7.471693224223705,-27.438116187132493,False
Autonomous,0.7497273286855125,Zoom Climb,5.714068495373369,-26.880098157294796,False
Autonomous,0.6156868573441018,Break Turn,8.967217341501293,32.66937231559889,False
Autonomous,0.5038654819865217,Barrel Roll,5.39768480817761,25.36103432983799,False
Autonomous,0.9241719823467079,Split-S,6.896164321360682,-46.095712856984434,False
Autonomous,0.9363086887792905,Split-S,6.238525291226028,-15.501809736208038,False
Autonomous,0.9661456496322476,Zoom Climb,5.7751149427104265,46.46552910915918,False
Autonomous,0.5837159721568111,Split-S,8.12228456066521,26.607542539784788,False
Autonomous,0.6792478259329268,Barrel Roll,6.045465658763988,-8.695077796974047,True
Autonomous,0.5755239988953131,Barrel Roll,6.791527191347039,-2.95557321814659,False
Autonomous,0.9868612604982892,Break Turn,7.123230572872187,-10.75404923572443,False
Autonomous,0.6601587158441358,Zoom Climb,5.697730932977072,23.37419196476455,False
Autonomous,0.9370478336936552,Split-S,7.583509391276059,44.57527082252612,False
Autonomous,0.6305990412202251,Split-S,8.20820064729717,-21.078597479367126,True
Autonomous,0.7494084866538824,Split-S,6.275129811319192,-32.647780494966995,False
Autonomous,1.072610336145745,Break Turn,7.261953145395072,-40.24129762284699,False
Autonomous,0.8393809799512882,Break Turn,6.799663418334207,-19.486179431564643,False
Autonomous,0.7262420524145287,Zoom Climb,5.616204004034683,-11.539659473035101,True
Autonomous,0.6777407897540413,Zoom Climb,5.003564591650728,-0.3301792929137477,False
Autonomous,0.6993883460642273,Break Turn,7.166952535688212,57.19379469991834,False
Autonomous,0.5231355130303839,Zoom Climb,6.316531771933308,-31.25257311996331,False
Autonomous,0.842616932194294,Zoom Climb,5.605786178142656,11.123606865527222,True
Autonomous,0.7587581192429831,Break Turn,8.32054087152965,-15.866024073689616,False
Autonomous,0.9434707975326262,Barrel Roll,6.632863746438768,35.80141499814613,False
Autonomous,0.8557391437185031,Zoom Climb,4.581550283109528,10.907153182589013,False
Autonomous,0.5116114802494993,Barrel Roll,6.61900209227943,-18.160081524992478,True
Autonomous,1.1583662851427228,Zoom Climb,5.273470692601075,52.40759864840814,False
Autonomous,0.7387464457351809,Break Turn,7.0226790518442845,4.973756859307898,False
Autonomous,0.6599850152581097,Zoom Climb,6.134444400402431,6.624097391935479,False
Autonomous,0.6692966036303162,Zoom Climb,6.430838702577587,6.995214432851711,False
Autonomous,0.6320949758389656,Break Turn,7.373023936531652,27.114681464428728,False
Autonomous,1.1209604969855822,Zoom Climb,6.27554019752192,42.11141385210152,False
Autonomous,1.0497384557797604,Zoom Climb,5.71285811931918,-58.89635380600444,True
Autonomous,0.964451238375639,Break Turn,7.209802436843664,-23.35633675867279,False
Autonomous,0.8138969000903731,Break Turn,7.0606732736514,25.461506561704297,False
Autonomous,0.7277797887114874,Zoom Climb,5.23293756916572,29.300462766787476,False
Autonomous,0.7156425542966725,Zoom Climb,4.687349535656185,-15.874103632867978,False
Autonomous,0.6707927503653585,Split-S,8.447232145687522,-1.5909416448653886,False
Autonomous,0.8040760558573,Break Turn,7.7565927327629804,9.22846615516309,False
Autonomous,0.6366700914586312,Break Turn,7.747983449711881,8.64050390510198,False
Autonomous,0.5305226402281036,Zoom Climb,6.380917168705828,54.471429240310485,False
Autonomous,0.7591110901788111,Break Turn,8.882679617559884,-20.309963439538357,False
Autonomous,0.9006047284195868,Zoom Climb,6.20601891093472,-24.666132951649715,False
Autonomous,1.0957956700617997,Zoom Climb,5.470559748552631,-15.277575948714087,False
Autonomous,1.0909491985084179,Barrel Roll,6.1401223401787295,-48.338820747507775,False
Autonomous,1.1930376950729844,Split-S,6.635409122674347,-24.565129389727353,False
Autonomous,1.094068856447272,Break Turn,8.256210209967772,-16.86106185362938,False
Autonomous,1.0665528088349596,Barrel Roll,5.512413887188917,13.381645303881669,True
Autonomous,0.5036294039417908,Zoom Climb,6.09659035793355,17.995671693331815,False
Autonomous,1.0570548686052708,Zoom Climb,6.27323429790132,-56.685987375155435,False
Autonomous,0.8069318861126609,Barrel Roll,5.071884547593484,-4.1282378241047795,False
Autonomous,0.7005788764897991,Split-S,8.151011545779188,-29.969836738096312,True
Autonomous,0.712285860271256,Barrel Roll,5.254121025303769,2.669191206576528,False
Autonomous,0.6510747192477901,Break Turn,7.643162904034321,41.04276900143776,False
Autonomous,0.787947733539675,Barrel Roll,6.2748598029964135,27.13096004671938,False
Autonomous,0.8614102438108366,Split-S,6.102668791919689,-12.141491826624659,False
Autonomous,1.0208298500993807,Split-S,6.063376858538644,55.517809761351,False
Autonomous,0.9871819442655885,Break Turn,6.645483988771109,49.82564731517766,False
Autonomous,0.6678511514101823,Split-S,7.786489806750156,19.223685206127755,False
Autonomous,1.168405696464236,Barrel Roll,6.314222657000334,-7.719252158653077,False
Autonomous,0.5334012893841542,Split-S,6.889931696628154,30.941533255724295,True
Autonomous,0.5812508483548413,Break Turn,6.735392470671401,-22.630402873044694,False
Autonomous,0.622731188922537,Zoom Climb,4.695668321302003,-1.0060949859801198,False
Autonomous,0.6212413089370106,Split-S,7.624434206606908,-54.23292909635595,False
